inner_fold,threshold,tipo,accuracy,balanced_accuracy,f1_macro,outer_fold
todos,0.62,busca_limiar,0.746446854974403,0.7637392989326689,0.7448153390523873,4
todos,0.55,busca_limiar,0.7490960512655283,0.7633820562217571,0.7484185972662638,4
todos,0.6699999999999999,busca_limiar,0.7437618587333977,0.7631577186896649,0.7411900405268945,4
todos,0.6799999999999999,busca_limiar,0.7393942648480292,0.7594794761728932,0.7364032066088454,4
todos,0.69,busca_limiar,0.735205670712061,0.7558854589245462,0.7318135144156116,4
todos,0.54,busca_limiar,0.740844162818172,0.7539751516594488,0.7403840006252754,4
todos,0.7,busca_limiar,0.7298893781548705,0.7512029871169177,0.7260165618352289,4
todos,0.71,busca_limiar,0.7256470840940823,0.7475565852909777,0.721302722191254,4
todos,0.72,busca_limiar,0.7220849890810153,0.744807444136876,0.7170998478186441,4
todos,0.53,busca_limiar,0.7275086814878459,0.7389648222499706,0.7272941271350897,4
todos,0.73,busca_limiar,0.7121147030394157,0.7359052144270126,0.7060460733452949,4
todos,0.74,busca_limiar,0.701500017899975,0.7263743697860334,0.6941680610741771,4
todos,0.75,busca_limiar,0.6944832277234811,0.7200859957298509,0.6862160241808409,4
todos,0.52,busca_limiar,0.710217305695772,0.7195712336812083,0.71018552695766,4
todos,0.51,busca_limiar,0.696953424265206,0.7046604499434022,0.6969500649950662,4
todos,0.44,busca_limiar,0.6939999284001003,0.6914632177206854,0.6910521287659908,4
todos,0.5,busca_limiar,0.6828840439623385,0.6887547092786239,0.6827719828366601,4
todos,0.43,busca_limiar,0.691350732108975,0.6881674135411868,0.6880169297407506,4
todos,0.42,busca_limiar,0.6885762359932696,0.6847506699662125,0.6848309673901154,4
todos,0.44999999999999996,busca_limiar,0.6842265420828411,0.6835097581420174,0.6822019805685015,4
todos,0.41,busca_limiar,0.6871800379479469,0.6827029983087076,0.6829962596973613,4
todos,0.4,busca_limiar,0.687233737872767,0.6821084488134496,0.6825959507725596,4
todos,0.49,busca_limiar,0.6771202520316472,0.681874385800697,0.6768578394843451,4
todos,0.39,busca_limiar,0.685694340027924,0.67989267666639,0.6805447242053909,4
todos,0.38,busca_limiar,0.6854795403286436,0.6789393578650755,0.6797491379570377,4
todos,0.37,busca_limiar,0.6856406401031039,0.6783682265338066,0.6793054893500836,4
todos,0.36,busca_limiar,0.6859091397272044,0.6778050179396322,0.6788493964055093,4
todos,0.48,busca_limiar,0.6737192567930405,0.6775236674268332,0.6732741485201275,4
todos,0.35,busca_limiar,0.6845308416568217,0.6752892844319597,0.6763876736939878,4
todos,0.33999999999999997,busca_limiar,0.6848351412308022,0.6747080561809572,0.6758105243527532,4
todos,0.45999999999999996,busca_limiar,0.6728063580710987,0.6742507077227026,0.671678050838626,4
todos,0.47,busca_limiar,0.6713206601510758,0.6740668609390256,0.6706105028822832,4
todos,0.32999999999999996,busca_limiar,0.6839401424838005,0.6727257655792,0.6737421200439189,4
todos,0.32,busca_limiar,0.6844592417570615,0.6723889403490824,0.6733067285750013,4
todos,0.31,busca_limiar,0.6843339419324813,0.671400257047507,0.6721563607342722,4
todos,0.3,busca_limiar,0.684172842158021,0.6705148182506803,0.6710946985696224,4
1,0.5,limiar_padrao,0.9690407530333532,0.9641371486196899,0.9681449770051177,5
2,0.5,limiar_padrao,0.6859461680706801,0.6905632944689796,0.6858108638889395,5
3,0.5,limiar_padrao,0.9088128996385877,0.89643506963034,0.9045682925468158,5
todos,0.5800000000000001,busca_limiar,0.8590055881931509,0.8577300019250886,0.8574415719645072,5
todos,0.59,busca_limiar,0.8585399054305775,0.8574041599728093,0.8570106113845899,5
todos,0.5700000000000001,busca_limiar,0.8583070640492907,0.8568365393082806,0.8566832282681718,5
todos,0.6,busca_limiar,0.857321965897693,0.8563564085050948,0.8558298392602965,5
todos,0.61,busca_limiar,0.85596073936094,0.8551990285275378,0.8545137880460225,5
todos,0.56,busca_limiar,0.8566055308783493,0.8548809928834569,0.8548949324322328,5
todos,0.62,busca_limiar,0.855208482590629,0.8545517723526792,0.8537844153625547,5
