Coleta,Dia,Vaso,Tempo,Soil,Soil_indice_0_1,faixa_soil,Classe,predito,prob_sem_nematoide,acertou
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,555.56,151.0,0.0505050505050505,seco,0,0,0.4465221903205708,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,555.8,164.0,0.0548821548821548,seco,0,1,0.5155602781851734,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,556.03,153.0,0.0511784511784511,seco,0,0,0.4584400878435133,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,556.27,161.0,0.0538720538720538,seco,0,0,0.4940604149123257,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,556.51,159.0,0.0531986531986532,seco,0,0,0.4873947328762424,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,556.74,152.0,0.0508417508417508,seco,0,0,0.4499464291232629,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,557.02,155.0,0.0518518518518518,seco,0,0,0.467791002831434,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,557.25,156.0,0.0521885521885521,seco,0,0,0.3204415348462093,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,557.49,156.0,0.0521885521885521,seco,0,0,0.4797925056737421,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,557.72,151.0,0.0505050505050505,seco,0,0,0.4431022040776615,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,557.96,153.0,0.0511784511784511,seco,0,0,0.4501430736310465,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,558.23,158.0,0.0528619528619528,seco,0,0,0.3871620775285497,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,558.47,156.0,0.0521885521885521,seco,0,0,0.4680430103767947,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,558.7,153.0,0.0511784511784511,seco,0,0,0.4510190197541766,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,558.93,154.0,0.0515151515151515,seco,0,0,0.4523088985468713,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,559.17,151.0,0.0505050505050505,seco,0,0,0.4414440781197432,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,559.41,153.0,0.0511784511784511,seco,0,0,0.4436941324057527,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,559.64,156.0,0.0521885521885521,seco,0,0,0.3682021303088663,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,559.88,160.0,0.0535353535353535,seco,0,0,0.4746501803699374,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,560.12,159.0,0.0531986531986532,seco,0,0,0.4570200469539597,True
