Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,114.75,2883.0,23.6,93.49,13555,18925,1084,8876,22901,12778,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,114.92,2867.0,23.6,93.49,13555,18922,1089,8879,22900,12698,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,115.1,2890.0,23.6,93.49,13555,18925,1089,8887,22900,12771,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,115.28,2863.0,23.6,93.49,13556,18928,1090,8884,22899,12770,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,115.45,2870.0,23.6,93.5,13554,18809,1089,8885,22900,12772,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,115.63,2934.0,23.6,93.5,13536,18905,1091,8884,22895,12759,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,115.83,2911.0,23.6,93.49,13557,18928,1092,8882,22900,12766,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,116.01,2856.0,23.6,93.49,13561,18905,1091,8889,22866,12757,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,116.2,2856.0,23.6,93.49,13522,18930,1087,8885,22905,12765,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,116.38,2878.0,23.6,93.5,13552,18814,1092,8886,22901,12765,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,116.56,2868.0,23.6,93.49,13555,18928,1093,8887,22869,12685,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,116.75,2866.0,23.6,93.5,13556,18927,1093,8889,22904,12757,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,116.93,2896.0,23.6,93.49,13557,18930,1093,8888,22902,12751,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,117.11,2869.0,23.6,93.49,13556,18937,1093,8881,22906,12753,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,117.3,2910.0,23.6,93.49,13554,18872,1094,8888,22877,12757,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,117.49,2891.0,23.6,93.49,13554,18933,1096,8890,22902,12754,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,117.67,2875.0,23.6,93.49,13552,18928,1094,8891,22907,12748,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,117.84,2872.0,23.6,93.5,13557,18933,1094,8896,22901,12749,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,118.02,2871.0,23.6,93.49,13477,18931,1094,8894,22906,12749,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,118.19,2866.0,23.6,93.49,13555,18933,1094,8896,22898,12742,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,118.37,2855.0,23.6,93.5,13554,18935,1095,8898,22904,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,118.55,2869.0,23.6,93.5,13557,18938,1095,8881,22908,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,118.73,2873.0,23.6,93.49,13559,18949,1095,8894,22767,12737,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,118.92,2883.0,23.6,93.5,13558,18937,1095,8892,22908,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,119.1,2863.0,23.7,93.49,13557,18944,1095,8891,22908,12749,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,119.29,2878.0,23.7,93.49,13563,18940,1095,8895,22907,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,119.47,2872.0,23.7,93.49,13556,18949,1090,8890,22914,12748,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,119.66,2879.0,23.7,93.5,13539,18904,1095,8894,22871,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,119.84,2914.0,23.7,93.5,13556,18947,1101,8896,22909,12677,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,120.03,2893.0,23.7,93.49,13560,18947,1099,8898,22909,12746,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,120.21,2883.0,23.7,93.5,13559,18948,1096,8899,22909,12745,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,120.4,2896.0,23.7,93.49,13561,18945,1097,8879,22910,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,120.58,2885.0,23.7,93.5,13494,18949,1096,8897,22910,12749,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,120.77,2907.0,23.7,93.5,13557,18950,1096,8897,22837,12741,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,120.95,2872.0,23.7,93.5,13557,18946,1097,8901,22907,12747,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,121.13,2874.0,23.7,93.49,13559,18948,1097,8905,22907,12746,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,121.3,2868.0,23.7,93.49,13557,18952,1093,8910,22908,12746,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,121.48,2850.0,23.7,93.49,13558,18950,1098,8910,22844,12734,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,121.66,2900.0,23.7,93.5,13556,18949,1097,8913,22908,12742,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,121.83,2855.0,23.7,93.5,13560,18955,1098,8909,22908,12742,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,122.02,2877.0,23.7,93.5,13478,18954,1097,8908,22912,12742,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,122.2,2879.0,23.7,93.5,13559,18953,1098,8907,22878,12705,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,122.39,2878.0,23.7,93.5,13560,18951,1098,8913,22902,12732,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,122.58,2833.0,23.7,93.5,13558,18952,1099,8912,22912,12729,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,122.76,2922.0,23.7,93.49,13558,18959,1099,8915,22907,12732,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,122.95,2869.0,23.7,93.5,13556,18950,1097,8917,22913,12731,1
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,123.13,2890.0,23.7,93.5,13556,18950,1099,8920,22774,12729,1
