Coleta,Dia,Classe,n_total,Pres_antes,Pres_1200_1300,Pres_depois,Pres_delta_pct,MQ2_delta_pct,MQ3_delta_pct,MQ7_delta_pct,MQ8_delta_pct,MQ135_delta_pct,MQ138_delta_pct,media_abs_delta_sensores_pct,media_delta_sensores_pct
dia 18 - Soja Saudavel Vaso 1,18,1,2260,89.58399999999997,84.4378217821782,93.50450000000001,-5.7445282838696325,-2.8962369765113816,-1.8339680342557019,-6.9022153384443925,-3.963919764437269,-1.8999219185768634,-4.347365864570888,3.640604649466083,-3.640604649466083
dia 18 - Soja Saudavel Vaso 2,18,1,1928,93.5416,93.54227722772278,93.5413,0.0007239856093709558,0.4016888740002213,0.2141308687836233,0.22132323800649867,-0.04128114186664449,0.23932196148846624,-0.002331855569034199,0.18667965661908134,0.17214199080718848
dia 18 - Soja Saudavel Vaso 4,18,1,2013,93.53930000000003,93.53990099009903,93.54080000000002,0.0006425001031676249,0.29280836438608576,0.1871712052374452,0.23914355318150324,0.2767283601595998,0.14571722381279617,-0.27142712996266194,0.2354993061233487,0.1450235961357947
dia 18 - Soja Saudavel Vaso 5,18,1,1909,93.54080000000002,93.54198019801984,93.5423,0.0012616933143871703,0.33039839578223623,0.23797407454248845,0.2217187908251684,0.35569906425011183,0.12248206972109181,0.3152362085520654,0.26391810061219373,0.26391810061219373
dia 19 - Soja Heterodera Vaso 1,19,0,1325,93.72139999999997,93.7246534653465,93.72333333333331,0.0034714220514545516,-1.82617963359204,-0.02768922188890673,9.573748561801251,3.692369854459975,9.133933886382975,-1.3994319523520382,4.275558851746197,3.1911252491352022
dia 19 - Soja Heterodera Vaso 7,19,0,1512,93.69250000000004,93.69287128712874,93.69400000000005,0.0003962826573105793,0.4303218265518244,0.17935206853988778,1.7609924621269264,0.4267564360254228,0.17298773578025947,0.27015195740462394,0.5400937477381574,0.5400937477381574
dia 19 - Soja Heterodera Vaso 8,19,0,1513,93.7096,93.70999999999998,93.71059999999997,0.00042685061080706454,0.6073098858287348,0.29613763561936973,1.7514035081825123,0.059910117006902984,0.21319517741313007,0.2822548187155389,0.5350351904610315,0.5350351904610315
dia 19 - Soja Heterodera Vaso 9,19,0,1513,93.7096,93.70999999999998,93.71059999999997,0.00042685061080706454,0.6073098858287348,0.29613763561936973,1.7514035081825123,0.059910117006902984,0.21319517741313007,0.2822548187155389,0.5350351904610315,0.5350351904610315
dia 19 - Soja Saudavel Vaso 2,19,1,1345,93.73269999999998,93.73099009900986,93.73113636363637,-0.0018242310208940772,0.7190850986920713,0.25755786718618046,0.7447809029289001,-0.09129533552780002,0.21729471504629339,0.4977103614017247,0.421287380130495,0.3908556016212283
dia 19 - Soja Saudavel Vaso 5,19,1,1307,93.71509999999998,93.71108910891087,93.71166666666666,-0.004279877083958975,0.4815658856646185,0.09837652902923621,1.4370740721632658,-1.0327472159710975,0.17985530717986295,0.4589969720875885,0.6147693303492783,0.2705202583589124
