sensores_mantidos,sensores_removidos,qtd_sensores,features,accuracy,balanced_accuracy,f1_macro,cenario,delta_balanced_accuracy_pp_vs_baseline
MQ2,MQ3 | MQ7 | MQ8 | MQ135 | MQ138,1,MQ2_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9279674429120507,0.9257671990871407,0.9273195477721817,1_MQ__MQ2,-0.3248932204326982
MQ2 | MQ3 | MQ7 | MQ8 | MQ135,MQ138,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9272891702464391,0.9249232393901133,0.9265697332929733,5_MQ__MQ2_MQ3_MQ7_MQ8_MQ135,-0.4092891901354312
MQ2 | MQ3,MQ7 | MQ8 | MQ135 | MQ138,2,MQ2_corrigido_env | MQ3_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9270178611801945,0.9245177754550539,0.9262400376673805,2_MQ__MQ2_MQ3,-0.4498355836413781
MQ2 | MQ8,MQ3 | MQ7 | MQ135 | MQ138,2,MQ2_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.926249152159168,0.9237529619316118,0.9254652333057979,2_MQ__MQ2_MQ8,-0.5263169359855824
MQ2 | MQ3 | MQ135,MQ7 | MQ8 | MQ138,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9259778430929233,0.9233377076038242,0.9251280843733414,3_MQ__MQ2_MQ3_MQ135,-0.5678423687643486
MQ2 | MQ7 | MQ8 | MQ135,MQ3 | MQ138,4,MQ2_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9247569522948225,0.9224073090985612,0.9240206801466565,4_MQ__MQ2_MQ7_MQ8_MQ135,-0.6608822192906483
MQ2 | MQ135,MQ3 | MQ7 | MQ8 | MQ138,2,MQ2_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.92480217047253,0.9223236792444919,0.9240113957642073,2_MQ__MQ2_MQ135,-0.6692452046975772
MQ2 | MQ3 | MQ8 | MQ138,MQ7 | MQ135,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9222699525209134,0.9194846659929108,0.921310476003718,4_MQ__MQ2_MQ3_MQ8_MQ138,-0.9531465298556863
MQ135,MQ2 | MQ3 | MQ7 | MQ8 | MQ138,1,MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9223151706986209,0.9194826227449093,0.92133305217149,1_MQ__MQ135,-0.9533508546558322
MQ3,MQ2 | MQ7 | MQ8 | MQ135 | MQ138,1,MQ3_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9213655889667647,0.9184387973601138,0.9203244582083316,1_MQ__MQ3,-1.057733393135385
MQ2 | MQ3 | MQ7 | MQ135,MQ8 | MQ138,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9205516617680307,0.9180023735089449,0.919685974008408,4_MQ__MQ2_MQ3_MQ7_MQ135,-1.1013757782522782
MQ2 | MQ138,MQ3 | MQ7 | MQ8 | MQ135,2,MQ2_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9195116436807597,0.9169104191922686,0.9186105142296577,2_MQ__MQ2_MQ138,-1.2105712099199084
MQ2 | MQ3 | MQ7,MQ8 | MQ135 | MQ138,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.918516843771196,0.9159730679112414,0.9176328888350072,3_MQ__MQ2_MQ3_MQ7,-1.3043063380226205
