Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,287.94,0,1,0.5494785048606039,False
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,274.24,0,0,0.04236793050886809,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,552.85,1,1,0.9800167494519947,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,425.14,1,1,0.9554364671703576,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,633.27,0,0,0.14652047964282555,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,621.57,0,1,0.5310926923216612,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,575.91,1,1,0.949004139777545,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,407.64,1,1,0.9972005701314836,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,443.51,0,0,0.33571071679177233,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,516.06,1,1,0.9589129515559942,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,333.73,0,0,0.3448556832414286,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,407.55,1,1,0.9654087986247946,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,554.44,1,1,0.9810963517692006,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,559.6,1,1,0.9385432508380948,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,492.47,0,0,0.3654576440626901,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,138.18,1,0,0.42746673795267154,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,179.2,0,0,0.0632639071548252,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,689.34,1,1,0.8977074298161616,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,402.71,0,0,0.26394078265113763,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,252.97,1,1,0.9294772291678358,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,669.9,1,1,0.9758124800020563,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,381.72,0,0,0.11196422242488706,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,355.37,0,0,0.33681056421591277,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,340.44,1,1,0.8858111961764654,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,210.39,1,1,0.9912193179891311,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,468.96,1,1,0.946228938747382,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,588.12,1,1,0.979032011788194,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,308.0,1,1,0.9798112697270294,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,491.67,0,0,0.20528081618088118,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,271.9,0,0,0.15790428783889732,True
